Timestamp,RequestID,LogStream,DurationInMS,BilledDurationInMS,MemorySetInMB,MemoryUsedInMB
2022-12-25 17:00:21.429,65952810-3db9-5b4e-a494-7432be5a7cd2,2022/12/25/[$LATEST]efc843ea92d54494b30f8e88a79c96d9,791.86,792.0,128,83
2022-12-25 17:00:20.929,d9a8dabd-ad5f-53b9-84b6-869f2ebc7903,2022/12/25/[$LATEST]4d38d68d9b794584a5662b809cbcc740,800.93,801.0,128,83
2022-12-25 17:00:20.747,385689b3-b348-5831-8750-d59130ab2ab2,2022/12/25/[$LATEST]8520b1ce6b794cb99fb6a3163b14124f,852.98,853.0,128,83
2022-12-25 17:00:20.636,f8bb6502-c36e-5f6c-8456-3920408d4def,2022/12/25/[$LATEST]88aafffcaa04449cb6bc7367398d7a4d,824.81,825.0,128,83
2022-12-25 17:00:20.635,f94cdac9-3d5e-505c-84cd-86ebbebd02df,2022/12/25/[$LATEST]4929ba7e55954da981e74fe42d505121,865.84,866.0,128,83
2022-12-25 17:00:20.589,f4e009fa-0eee-54d2-815e-55d88d0d0651,2022/12/25/[$LATEST]efc843ea92d54494b30f8e88a79c96d9,858.22,859.0,128,83
2022-12-25 17:00:20.428,b1a3f859-bfc6-5650-999d-a47b3c2507cb,2022/12/25/[$LATEST]5f7be210e06942c79f1f1c7cf649f603,861.12,862.0,128,83
2022-12-25 17:00:20.351,92b0c91d-cf24-5479-96d6-953f4cc7eec3,2022/12/25/[$LATEST]14f7fc1e06df44269caa414d51b280f0,850.39,851.0,128,82
2022-12-25 17:00:20.276,9acece59-07c5-5886-bd7a-927b8427791d,2022/12/25/[$LATEST]74aab8a145554abca0f5dac68a42353a,1290.69,1291.0,128,82
2022-12-25 17:00:20.205,740e73ef-2b0c-5f96-aeef-2fcda8ef2129,2022/12/25/[$LATEST]151cb5e0a63043b4ad4f64296b7a02fe,864.98,865.0,128,83
2022-12-25 17:00:20.109,781f8d3f-39b9-5c88-b900-d11dba5a2632,2022/12/25/[$LATEST]4d38d68d9b794584a5662b809cbcc740,841.15,842.0,128,83
2022-12-25 17:00:20.014,4edbaebe-95bf-5626-b99a-f29c165cbd50,2022/12/25/[$LATEST]f1841165aa80419f9730f4eb927cd02e,858.6,859.0,128,83
2022-12-25 17:00:19.867,4565fbd5-ef86-5fe6-a262-a7f76c658e7d,2022/12/25/[$LATEST]8520b1ce6b794cb99fb6a3163b14124f,831.81,832.0,128,83
2022-12-25 17:00:19.735,6d2cd6cc-f5ee-59a8-a639-8aee760cf312,2022/12/25/[$LATEST]4929ba7e55954da981e74fe42d505121,871.78,872.0,128,83
2022-12-25 17:00:19.689,cbd99e23-8c9d-52e3-b7b9-c2010f7f3378,2022/12/25/[$LATEST]efc843ea92d54494b30f8e88a79c96d9,775.89,776.0,128,83
2022-12-25 17:00:19.675,f774222a-4038-5785-a0f5-7e08c3da461e,2022/12/25/[$LATEST]88aafffcaa04449cb6bc7367398d7a4d,865.7,866.0,128,83
2022-12-25 17:00:19.249,aaeb3444-f1ce-5e5b-ba83-6866722ccfc0,2022/12/25/[$LATEST]4d38d68d9b794584a5662b809cbcc740,783.67,784.0,128,83
2022-12-25 17:00:19.074,72029f87-6a35-5aff-aa88-c3a5e9d7b440,2022/12/25/[$LATEST]f1841165aa80419f9730f4eb927cd02e,840.66,841.0,128,83
2022-12-25 17:00:19.009,7e2628e9-1b55-59cf-9f39-74cb98b45375,2022/12/25/[$LATEST]8520b1ce6b794cb99fb6a3163b14124f,1231.68,1232.0,128,83
2022-12-25 17:00:18.869,d337b760-b689-5694-8b47-eb42356b270f,2022/12/25/[$LATEST]efc843ea92d54494b30f8e88a79c96d9,807.04,808.0,128,83
2022-12-25 17:00:18.855,8cf226aa-623f-5be8-9681-7a88e1de996b,2022/12/25/[$LATEST]4929ba7e55954da981e74fe42d505121,889.46,890.0,128,83
2022-12-25 17:00:18.775,60fd4218-a9a8-5201-a097-1e3a2a4ab082,2022/12/25/[$LATEST]88aafffcaa04449cb6bc7367398d7a4d,710.7,711.0,128,83
2022-12-25 17:00:18.716,da982c31-7ca1-5219-99a3-7013ff40809a,2022/12/25/[$LATEST]74aab8a145554abca0f5dac68a42353a,865.17,866.0,128,82
2022-12-25 17:00:18.349,0fa7ff9e-c4da-5771-a117-a3bc473bb5f2,2022/12/25/[$LATEST]4d38d68d9b794584a5662b809cbcc740,790.89,791.0,128,83
2022-12-25 17:00:18.246,7fcaaf42-3938-5f48-ae60-f360bad9a8d4,2022/12/25/[$LATEST]151cb5e0a63043b4ad4f64296b7a02fe,829.6,830.0,128,83
2022-12-25 17:00:18.029,901cd1b7-5b04-58f1-8af6-8d95d8e59a72,2022/12/25/[$LATEST]efc843ea92d54494b30f8e88a79c96d9,852.97,853.0,128,83
2022-12-25 17:00:17.956,2995b93b-19f6-567e-853c-e5199a17f4fd,2022/12/25/[$LATEST]4929ba7e55954da981e74fe42d505121,824.57,825.0,128,83
2022-12-25 17:00:17.876,bb4cc1d7-568d-5e2c-b122-9df5d56c7fb7,2022/12/25/[$LATEST]88aafffcaa04449cb6bc7367398d7a4d,803.48,804.0,128,83
2022-12-25 17:00:17.836,5136c1cb-efa3-5681-bf49-9de96c43571a,2022/12/25/[$LATEST]74aab8a145554abca0f5dac68a42353a,866.39,867.0,128,82
2022-12-25 17:00:17.767,016d97e2-9a22-544c-a8cb-cbc019c2eaf3,2022/12/25/[$LATEST]8520b1ce6b794cb99fb6a3163b14124f,821.57,822.0,128,83
2022-12-25 17:00:17.574,e05c4080-e124-5fea-b822-1ca262c4049c,2022/12/25/[$LATEST]f1841165aa80419f9730f4eb927cd02e,818.03,819.0,128,83
2022-12-25 17:00:17.469,a77c59c6-7244-5c58-b9a9-05e4f1a4dedb,2022/12/25/[$LATEST]4d38d68d9b794584a5662b809cbcc740,826.0,827.0,128,83
2022-12-25 17:00:17.432,0ba7da57-eacd-5178-9a35-8675692ddbc2,2022/12/25/[$LATEST]14f7fc1e06df44269caa414d51b280f0,831.45,832.0,128,82
2022-12-25 17:00:17.096,cf0e8fa6-ba0d-5c9b-85af-d38439ed5e18,2022/12/25/[$LATEST]4929ba7e55954da981e74fe42d505121,822.65,823.0,128,83
2022-12-25 17:00:17.056,53eceb7d-82e8-5b25-b557-b75f0108b9a6,2022/12/25/[$LATEST]88aafffcaa04449cb6bc7367398d7a4d,820.88,821.0,128,83
2022-12-25 17:00:16.989,822ca7f1-51ee-5d50-a01f-fbd3d20edfd3,2022/12/25/[$LATEST]efc843ea92d54494b30f8e88a79c96d9,812.38,813.0,128,83
2022-12-25 17:00:16.907,ff536cdb-d624-5c3b-9ff0-30f955c4ceb8,2022/12/25/[$LATEST]8520b1ce6b794cb99fb6a3163b14124f,851.86,852.0,128,83
2022-12-25 17:00:16.591,825d2335-a809-58da-a47a-7f172bd61f46,2022/12/25/[$LATEST]14f7fc1e06df44269caa414d51b280f0,807.62,808.0,128,82
2022-12-25 17:00:16.569,df64b4a7-275e-53c1-bfdb-e885a4816142,2022/12/25/[$LATEST]4d38d68d9b794584a5662b809cbcc740,795.01,796.0,128,83
2022-12-25 17:00:16.414,7a074dd3-86a8-5eba-9c66-11f10577d400,2022/12/25/[$LATEST]f1841165aa80419f9730f4eb927cd02e,855.31,856.0,128,83
2022-12-25 17:00:16.236,663901c7-a23f-5c87-ad47-5de521e04e04,2022/12/25/[$LATEST]4929ba7e55954da981e74fe42d505121,848.74,849.0,128,83
2022-12-25 17:00:16.197,29e0f1fd-bcb6-52e3-b170-addf3f696060,2022/12/25/[$LATEST]88aafffcaa04449cb6bc7367398d7a4d,849.6,850.0,128,83
2022-12-25 17:00:16.196,468e1d9e-928b-54a0-b121-41bc1155a059,2022/12/25/[$LATEST]74aab8a145554abca0f5dac68a42353a,831.08,832.0,128,82
2022-12-25 17:00:16.109,30fffa8b-1ce0-531e-81ac-a6a99f3fc19d,2022/12/25/[$LATEST]efc843ea92d54494b30f8e88a79c96d9,827.54,828.0,128,83
2022-12-25 17:00:16.027,a72ecba9-7131-561f-be22-978bf2eed49c,2022/12/25/[$LATEST]8520b1ce6b794cb99fb6a3163b14124f,855.07,856.0,128,83
2022-12-25 17:00:15.689,a37a60c5-a587-50cd-bd24-3ce72659424e,2022/12/25/[$LATEST]4d38d68d9b794584a5662b809cbcc740,818.7,819.0,128,83
2022-12-25 17:00:15.514,80df5f97-798e-533a-96fc-03b5fa509980,2022/12/25/[$LATEST]f1841165aa80419f9730f4eb927cd02e,820.79,821.0,128,83
2022-12-25 17:00:15.451,c0c23588-d0dc-55e9-aa80-69aa53023e9f,2022/12/25/[$LATEST]14f7fc1e06df44269caa414d51b280f0,816.31,817.0,128,82
2022-12-25 17:00:15.315,13fa8b2e-b097-551e-b6b9-d70c33499ba1,2022/12/25/[$LATEST]88aafffcaa04449cb6bc7367398d7a4d,899.98,900.0,128,83
2022-12-25 17:00:15.286,a03734ec-0518-589a-97e1-68ce86c65a19,2022/12/25/[$LATEST]74aab8a145554abca0f5dac68a42353a,862.59,863.0,128,82
2022-12-25 17:00:15.229,71d41954-1f2c-54d2-97f5-45769cf2f651,2022/12/25/[$LATEST]efc843ea92d54494b30f8e88a79c96d9,764.27,765.0,128,83
2022-12-25 17:00:15.195,4bed1342-fef4-5ce0-9440-4f607d2a8e63,2022/12/25/[$LATEST]4929ba7e55954da981e74fe42d505121,827.98,828.0,128,83
